Country Name,Country Code,Series,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Angola,AGO,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Gross graduation ratio from lower secondary education, both sexes (%)",UIS.GGR.2,22.47551,22.46379,..,..,..,..,22.61261,..,..,..
Angola,AGO,"Gross graduation ratio from primary education, both sexes (%)",SE.PRM.CMPL.ZS,34.43853,34.36553,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,107.29104,106.41579,105.35117,..,103.29183,103.16389,..,102.82641,104.59891,..
Antigua and Barbuda,ATG,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.91542,0.92814,0.95211,..,0.94992,0.96619,..,0.98406,0.99208,..
Antigua and Barbuda,ATG,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,..,72.08589,75.84396,..,72.45337,..,..,76.54584,74.02507,..
Antigua and Barbuda,ATG,"Net enrolment rate, primary, female (%)",SE.PRM.NENR.FE,..,..,93.49916,..,92.12914,94.0308,..,94.76904,..,..
Antigua and Barbuda,ATG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,368,170,431,..,534,117,..,235,66,..
Antigua and Barbuda,ATG,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,106.60995,103.67695,..,..,111.15032,92.55548,..,98.18578,96.19883,..
Antigua and Barbuda,ATG,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,1.81818,1.51625,2.09644,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Gross graduation ratio from lower secondary education, both sexes (%)",UIS.GGR.2,87.76596,113.96721,94.30789,..,84.51444,88.53119,..,97.27463,109.45946,..
Antigua and Barbuda,ATG,"Gross graduation ratio from primary education, both sexes (%)",SE.PRM.CMPL.ZS,88.93179,86.87664,103.03849,..,108.56742,92.17639,..,95.71843,94.07462,..
Arab World,ARB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,92.08309,91.42187,93.87269,92.85067,92.77944,93.18382,93.13931,92.7401,92.9635,..
Arab World,ARB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.9229,0.91804,0.92944,0.93089,0.93668,0.93992,0.94122,0.9446,0.94615,..
Arab World,ARB,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Net enrolment rate, primary, female (%)",SE.PRM.NENR.FE,81.34995,81.39816,..,81.617,81.5384,..,81.91049,81.75467,82.10073,..
Arab World,ARB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,6201409,6411325,6416258,6944384,7164974,7375477,7286890,7143735,7170117,..
Arab World,ARB,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,84.36583,85.17569,87.03526,85.06061,85.99188,85.61407,85.12254,84.44785,84.96593,..
Arab World,ARB,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Gross graduation ratio from lower secondary education, both sexes (%)",UIS.GGR.2,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Gross graduation ratio from primary education, both sexes (%)",SE.PRM.CMPL.ZS,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.01971,5.29063,5.34583,5.43661,5.36144,5.77611,5.54549,5.46223,..,..
Argentina,ARG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,116.22167,114.91864,113.53876,111.52934,111.34255,111.2357,110.60607,109.62778,..,..
Argentina,ARG,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98741,0.98824,0.98823,0.99157,0.99794,0.99881,0.99764,0.99797,..,..
Argentina,ARG,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,68.83971,68.96298,70.89767,72.51951,73.56782,75.00675,75.67922,76.41499,..,..
Argentina,ARG,"Net enrolment rate, primary, female (%)",SE.PRM.NENR.FE,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,25533,24042,24382,17457,4205,2420,19510,18743,..,..
Argentina,ARG,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,103.56741,103.88771,103.35225,101.64501,103.10644,102.97374,103.89357,99.96276,..,..
Argentina,ARG,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross graduation ratio from lower secondary education, both sexes (%)",UIS.GGR.2,73.8867,78.8436,81.80686,85.80691,86.3035,88.85991,89.06429,89.13617,..,..
Argentina,ARG,"Gross graduation ratio from primary education, both sexes (%)",SE.PRM.CMPL.ZS,110.45415,109.47691,111.18714,109.77128,105.57513,106.84617,106.60361,106.17577,..,..
Armenia,ARM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.249,3.14385,2.77248,2.65018,2.24724,2.80591,2.75812,2.70759,..,..
Armenia,ARM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,100.71847,99.44019,99.61921,99.10623,97.53677,95.77111,94.96555,94.2442,92.6959,..
Armenia,ARM,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.03138,1.01835,1.0133,1.01253,1.01302,1.01521,1.0089,1.00321,0.99961,..
Armenia,ARM,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,..,..,..,..,..,..,..,..,36.60781,..
Armenia,ARM,"Net enrolment rate, primary, female (%)",SE.PRM.NENR.FE,..,95.76167,96.88121,95.29451,94.17595,93.29142,92.50096,91.91511,90.5458,..
Armenia,ARM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,6728,5023,4874,8641,10601,11786,12428,11426,..
Armenia,ARM,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,94.49523,93.80897,93.85169,..,96.65223,94.59064,90.75161,91.98771,89.87896,..
Armenia,ARM,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,41.61899,44.16948,46.38171,47.19392,43.67139,41.11693,27.9615,44.85285,..,..
Armenia,ARM,"Gross graduation ratio from lower secondary education, both sexes (%)",UIS.GGR.2,114.69411,93.21018,..,..,104.07117,87.24223,..,86.43247,85.44205,..
Armenia,ARM,"Gross graduation ratio from primary education, both sexes (%)",SE.PRM.CMPL.ZS,93.70177,91.39102,..,..,96.11385,93.43539,89.69347,85.72314,86.29079,..
Aruba,ABW,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.92927,6.11913,6.54906,6.80806,6.16293,6.48175,6.1899,..,..,..
Aruba,ABW,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,113.03634,103.71852,105.40282,114.72793,115.20468,..,..,..,..,..
Aruba,ABW,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98696,0.97171,1.02508,0.9781,0.96864,..,..,..,..,..
Aruba,ABW,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,97.51134,..,..,98.89053,98.45133,..,..,..,..,..
Aruba,ABW,"Net enrolment rate, primary, female (%)",SE.PRM.NENR.FE,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,79,..,..,..,7,..,..,..,..,..
Aruba,ABW,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,94.7861,..,..,96.57064,101.18056,..,..,..,..,..
Aruba,ABW,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,6.17284,10.79014,11.02544,..,12.47525,..,..,..,..,..
Aruba,ABW,"Gross graduation ratio from lower secondary education, both sexes (%)",UIS.GGR.2,67.27989,..,..,55.65975,51.68237,..,..,..,..,..
Aruba,ABW,"Gross graduation ratio from primary education, both sexes (%)",SE.PRM.CMPL.ZS,94.52969,..,..,..,..,..,..,..,..,..
Australia,AUS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.55006,5.07451,4.869,5.22974,5.16477,5.31196,5.27163,..,..,..
Australia,AUS,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,105.52375,105.54086,105.7682,105.83486,105.32171,101.61505,100.73303,100.33393,..,..
Australia,AUS,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99824,0.99726,0.99603,0.99708,0.9975,1.00029,0.99978,0.9999,..,..
Australia,AUS,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,50.738,..,..,78.26451,81.10104,84.38948,87.27386,84.92756,..,..
Australia,AUS,"Net enrolment rate, primary, female (%)",SE.PRM.NENR.FE,..,97.98201,98.2361,..,..,..,..,96.74048,..,..
Australia,AUS,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,9666,44871,39575,1212,1742,1861,955,7031,..,..
Australia,AUS,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,60.48663,64.70498,..,72.06984,72.40121,58.29639,..,62.17685,..,..
Australia,AUS,"Gross graduation ratio from lower secondary education, both sexes (%)",UIS.GGR.2,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Gross graduation ratio from primary education, both sexes (%)",SE.PRM.CMPL.ZS,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.70048,5.59227,5.4804,5.54711,5.44762,5.45675,5.5007,..,..,..
Austria,AUT,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,99.125,99.25192,100.1678,100.63965,101.29374,101.52334,101.99711,102.96837,..,..
Austria,AUT,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98708,0.99052,0.99167,0.98905,0.99359,0.99097,0.99492,0.99727,..,..
Austria,AUT,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,83.71111,84.61279,85.05688,84.18142,84.98979,87.46558,88.08318,87.67685,..,..
Austria,AUT,"Net enrolment rate, primary, female (%)",SE.PRM.NENR.FE,87.91347,87.84316,88.96676,88.93992,89.46177,89.40543,89.691,..,..,..
Austria,AUT,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,7641,9350,5423,3318,2102,1512,663,149,..,..
Austria,AUT,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,..,96.77202,96.69372,97.60601,98.69185,100.37379,99.65672,99.45318,..,..
Austria,AUT,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,..,..,..,37.33055,33.85616,34.37269,35.29978,..,..,..
Austria,AUT,"Gross graduation ratio from lower secondary education, both sexes (%)",UIS.GGR.2,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Gross graduation ratio from primary education, both sexes (%)",SE.PRM.CMPL.ZS,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.78062,2.43564,2.06763,2.44213,2.63304,2.95168,2.90341,2.47382,..,..
Azerbaijan,AZE,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,93.23661,94.57047,96.88853,98.8165,105.49295,105.63598,105.8647,104.19372,100.01462,..
Azerbaijan,AZE,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98953,0.98052,0.97977,0.96903,0.99002,0.98318,0.99011,1.01633,1.00546,..
Azerbaijan,AZE,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,21.34622,22.32863,20.91363,20.58659,18.63064,18.91674,18.09097,31.69454,35.1901,..
Azerbaijan,AZE,"Net enrolment rate, primary, female (%)",SE.PRM.NENR.FE,83.84758,85.40787,87.94237,91.6671,..,..,..,94.68734,92.24746,..
Azerbaijan,AZE,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,64067,49999,38511,8544,3638,5980,4338,12166,24803,..
Azerbaijan,AZE,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,89.51445,92.80683,91.99119,88.08941,98.12571,103.28021,111.30191,107.17217,100.21995,..
Azerbaijan,AZE,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,16.93816,15.42774,15.41417,17.55388,17.67493,16.08691,17.2759,19.45418,..,..
Azerbaijan,AZE,"Gross graduation ratio from lower secondary education, both sexes (%)",UIS.GGR.2,93.12104,82.87681,94.73095,84.1778,88.99452,87.69663,87.07855,84.47803,..,..
Azerbaijan,AZE,"Gross graduation ratio from primary education, both sexes (%)",SE.PRM.CMPL.ZS,92.86569,91.46657,89.49398,87.09692,95.75183,97.17268,102.14164,108.85046,..,..
"Bahamas, The",BHS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,88.00042,93.52548,88.17143,81.2956,82.33325,85.06866,81.7346,..,81.15878,..
"Bahamas, The",BHS,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.97931,0.97879,0.97294,0.97247,0.97952,0.97338,1.00666,..,0.99507,..
"Bahamas, The",BHS,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,..,26.54937,29.19522,24.57777,30.34663,24.08163,25.65187,34.52004,28.12995,..
"Bahamas, The",BHS,"Net enrolment rate, primary, female (%)",SE.PRM.NENR.FE,80.59475,85.48546,79.82857,74.58828,75.76249,79.61804,76.43089,..,75.13181,..
"Bahamas, The",BHS,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,7390,4371,6347,8729,8422,6982,8399,..,8533,..
"Bahamas, The",BHS,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,82.40611,89.73962,89.3228,79.21593,80.06567,85.2287,77.42339,..,76.45863,..
"Bahamas, The",BHS,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Gross graduation ratio from lower secondary education, both sexes (%)",UIS.GGR.2,89.64931,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Gross graduation ratio from primary education, both sexes (%)",SE.PRM.CMPL.ZS,88.99752,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,2.64531,2.47688,2.46746,2.66808,..,2.32721,..,..
Bahrain,BHR,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,95.7298,95.77789,98.50305,100.35145,101.70948,102.16062,100.99798,98.75316,..
Bahrain,BHR,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,1.01779,1.00892,1.01669,1.01229,1.00991,1.02083,0.9958,0.98787,..
Bahrain,BHR,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,49.66151,51.11799,49.96834,52.05608,54.91657,54.3871,53.65089,53.35009,53.17371,..
Bahrain,BHR,"Net enrolment rate, primary, female (%)",SE.PRM.NENR.FE,..,91.16974,91.84122,92.73228,94.69685,96.75294,96.98251,..,95.85031,..
Bahrain,BHR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,7477,6848,5702,3777,1408,1350,585,1188,..
Bahrain,BHR,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,..,89.47138,93.22642,94.48237,96.64722,98.74027,99.51365,99.4512,97.87412,..
Bahrain,BHR,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,..,..,..,..,..,20.45988,21.97235,20.91749,21.18145,..
Bahrain,BHR,"Gross graduation ratio from lower secondary education, both sexes (%)",UIS.GGR.2,..,..,..,95.32641,..,..,97.72258,91.82733,91.64387,..
Bahrain,BHR,"Gross graduation ratio from primary education, both sexes (%)",SE.PRM.CMPL.ZS,..,..,..,97.74393,..,..,99.30417,98.61479,97.02619,..
Bangladesh,BGD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,2.1327,2.1755,1.96616,..,..,1.53554,2.47255,1.98602,..
Bangladesh,BGD,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,109.25345,..,..,..,..,..,..,119.05796,120.75175,..
Bangladesh,BGD,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.06251,..,..,..,..,..,..,1.07176,1.07471,..
Bangladesh,BGD,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,12.99914,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Net enrolment rate, primary, female (%)",SE.PRM.NENR.FE,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,803773,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,67.83219,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Gross graduation ratio from lower secondary education, both sexes (%)",UIS.GGR.2,..,..,..,..,..,..,68.64381,63.69408,71.05028,..
Bangladesh,BGD,"Gross graduation ratio from primary education, both sexes (%)",SE.PRM.CMPL.ZS,60.97171,62.13441,..,..,..,88.18931,89.17652,83.12808,86.99075,..
